sku,description,brand,upc,unit_weight,price,classification,notes,
VR SPICEBOMB-L2940800D- EDT,V&R SPICEBOMB EDT MEN VAPO 90 ML,VICTOR & ROLF,3605521515346,9.9999,114,EDT PERFUMES,,
VR SPICEBOMB-L4401400D- EDT150ML,V&R SPICEBOMB EDT MEN VAPO 150 ML,VICTOR & ROLF,365521820891,9.9999,158,EDT PERFUMES,,
VR SPICEBOMB-L602941300D- EDT,V&R SPICEBOMB EDT MEN VAPO 50ML,VICTOR & ROLF,3605521515629,9.9999,94,EDT PERFUMES,,
VS-011548,VICTORIA SECRET-TEMPTION FRAGRANCE MIST 250ML/8.4 OZ,,667549011548,,19.95,FRAGRANCE MIST,,
VS-011548-UK,VICTORIA SECRET-TEMPTION FRAGRANCE MIST 250ML/8.4 OZ,VICTORIA SECRET,667549011548,0.5,19.95,FRAGRANCE MIST,,
VS-011555,VICTORIA SECRET-TEMPTATION BODY LOTION 237 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667549011555,0.5,19.95,FRAGRANCE MIST,,
VS-011562,VICTORIA SECRET-RUSH FRAGRANCE MIST 250 ML/8.4 OZ(CO:-MADE IN USA),VICTORIA SECRET,667549011562,0.5,19.95,FRAGRANCE MIST,,
VS-011579,VICTORIA SECRET-RUSH BODY LOTION 236 ML/8 OZ,VICTORIA SECRET,667549011579,0.5,19.95,FRAGRANCE LOTION,,
VS-017876,VICTORIA SECRET-VELVET PETALS FRAGRANCE MIST 250 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,679360017876,0.52,19.95,FRAGRANCE MIST,,
VS-059909,VICTORIA SECRET BARE VANILLA SHIMMER 250ML/8.4OZ,VICTORIA SECRET,667555059909,,,,,
VS-086144,VICTORIA SECRET-LOVE SPELL FRAGRANCE MIST 250ML/8.4OZ,VICTORIA SECRET,667538086144,0.52,19.95,FRAGRANCE MIST,,
VS-086168,VICTORIA SECRET-COCONUT PASSION FRAGRANCE MIST 250ML/8.4OZ,VICTORIA SECRET,667538086168,0.52,19.95,FRAGRANCE MIST,,
VS-086212,VS-LOVE ADDICT FRARANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667538086212,0.5,20,PERFUMES,,
VS-086236,VICTORIA SECRET-TEMPTATION FRAGRANCE MIST 250ML/8.4OZ,VICTORIA SECRET,667538086236,0.52,19.95,FRAGRANCE MIST,,
VS-086267,VICTORIA SECRET-ROMANTIC FRAGRANCE MIST 250ML/8.4OZ,VICTORIA SECRET,667538086267,0.52,19.95,FRAGRANCE MIST,,
VS-086311,VICTORIA SECRET-COCONUT PASSION BODY LOTION 236ML/8OZ,VICTORIA SECRET,667538086311,0.5,19.95,FRAGRANCE LOTION,,
VS-086328,VICTORIA SECRET-AMBER ROMANCE BODY LOTION 236ML/8OZ,VICTORIA SECRET,667538086328,0.5,19.95,FRAGRANCE LOTION,,
VS-086359,VICTORIA SECRET-TEMPATION BODY LOTION 236ML/8OZ,VICTORIA SECRET,667538086359,0.5,19.95,FRAGRANCE LOTION,,
VS-099141,VICTORIA SECRET-PURE SEDUCTION FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667548099141,0.5,19.95,FRAGRANCE MIST,,
VS-099158,VICTORIA SECRET-LOVESPELL FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667548099158,0.5,19.95,FRAGRANCE MIST,,
VS-099165,VICTORIA SECRET-VELVET PETALS FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667548099165,0.5,,FRAGRANCE MIST,,
VS-099172,VICTORIA SECRET-BARE VANILLA FRAGRANCE MIST 248 ML/8.4 OZ,VICTORIA SECRET,667548099172,,19.95,FRAGRANCE MIST,,
VS-099172-UK,VICTORIA SECRET-BARE VANILLA FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667548099172,0.5,19.95,FRAGRANCE MIST,,
VS-099202,VICTORIA SECRET-COCONUT PASSION FRAGRANCE MIST 250 ML/8.4 OZ,,667548099202,,19.95,FRAGRANCE MIST,,
VS-099219,VICTORIA SECRET-AMBER ROMANCE MIST 250 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667548099219,,19.95,FRAGRANCE MIST,,
VS-099219-UK,VICTORIA SECRET-AMBER ROMANCE FRAGRANCE MIST 250 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667548099219,0.5,19.95,FRAGRANCE MIST,,
VS-099226,VICTORIA SECRET-PURE SEDUCTION BODY LOTION 237 ML/8OZ,VICTORIA SECRET,667548099226,0.5,19.95,FRAGRANCE LOTION,,
VS-099226-UK,VICTORIA SECRET-PURE SEDUCTION BODY LOTION 236 ML/8 OZ,VICTORIA SECRET,667548099226,0.5,19.95,FRAGRANCE LOTION,,
VS-099233,VICTORIA SECRET-LOVE SPELL BODY LOTION 236 ML/8 OZ,VICTORIA SECRET,667548099233,0.5,19.95,FRAGRANCE LOTION,,
VS-099240,VICTORIA SECRET-VELVET PETALS BODY LOTION 236ML/8OZ,VICTORIA SECRET,667548099240,0.5,19.95,FRAGRANCE LOTION,,
VS-099240-UK,VICTORIA SECRET-VELVET PETALS BODY LOTION 236 ML/8 OZ,VICTORIA SECRET,667548099240,0.5,19.95,FRAGRANCE LOTION,,
VS-099257-UK,VICTORIA SECRET-BARE VANILLA BODY LOTION 236 ML/8 OZ,VICTORIA SECRET,667548099257,0.5,19.95,FRAGRANCE LOTION,,
VS-099288-UK,VICTORIA SECRET-COCONUT PASSION BODY LOTION 236 ML/8 OZ,VICTORIA SECRET,667548099288,0.5,19.95,FRAGRANCE LOTION,,
VS-099295,VICTORIA SECRET-AMBER ROMANCE BODY LOTION 236 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667548099295,0.5,19.95,FRAGRANCE LOTION,,
VS-109534,VICTORIA'S SECRET COCUNUT MILK&ROSE 250 ML/8.4 OZ,,667557109534,,,,,
VS-109541,VICTORIA'S SECRET POMAGRANATE&LOTUS BALANCE 250ML/8.4OZ,,667557109541,,,,,
VS-109558,VICTORIA SECRET LAVENDER&VANILLA 250 ML/8.4FL 0Z,,667557109558,,,,,
VS-117190,VICTORIA SECRET-LOVE SPELL BODY LOTION 236ML/8OZ,VICTORIA SECRET,667545117190,0.5,19.95,FRAGRANCE LOTION,,
VS-123595,VICTORIA SECRET-AQUA KISS MIST 248 ML/8.4 OZ (CO:-MADE IN USA),VICTORIA SECRET,667554123595,0.5,19.95,FRAGRANCE MIST,,
VS-123595-D,VICTORIA SECRET-AQUA KISS MIST 248 ML/8.4 OZ (CO:-MADE IN USA),,667554123595,,19.95,FRAGRANCE MIST,,
VS-199927,VICTORIA SECRET AQUA KISS LOTION 237 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667554199927,0.52,19.95,FRAGRANCE LOTION,,
VS-199934,VICTORIA SECRET TEMPTATION LOTION 237 ML/8 OZ (CO:-MADE IN USA),VICTORIA SECRET,667554199934,0.52,19.95,FRAGRANCE MIST,,
VS-199941,VICTORIA SECRET-TEMPTATION MIST 248 ML/8.4 OZ,VICTORIA SECRET,667554199941,,19.95,FRAGRANCE MIST,,
VS-273681,VICTORIA SECRET-MIDNIGHT BLOOM FRAGRANCE MIST 250 ML/8.4 OZ,VICTORIA SECRET,667552273681,,19.95,FRAGRANCE MIST,,
